"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
1732,136,20200806,2020,60.17868,-48.70987,1258.988,2.06,14.6309963838953,14.6302265880936,1.90749790312209,0.0232568895521608,FALSE
1733,136,20200806,2020,60.1798,-48.71376,1064.204,2.228,15.7554924646139,15.7546660475362,1.83946865339927,0.150956607291376,FALSE
1734,136,20200806,2020,60.17996,-48.71452,880.16,2.477,16.8223755926489,16.8217980729747,1.77317950609013,0.495363287647539,FALSE
1735,136,20200806,2020,60.18077,-48.71636,710.091,2.709,18.4978975507511,18.4961669372765,1.68617339513019,1.04617426362949,FALSE
1736,136,20200806,2020,60.181,-48.71843,559.494,2.607,17.9490396007242,17.9486380036866,1.68434677375647,0.851288975897593,FALSE
1737,136,20200806,2020,60.18144,-48.72032,429.36,2.908,19.100306740163,19.0995039014246,1.61750628119769,1.66537403826822,FALSE
1738,136,20200806,2020,60.18172,-48.72176,309.475,2.757,18.9693311482011,18.969058312659,1.58443517553813,1.37490826756531,FALSE
1739,136,20200806,2020,60.1819,-48.72274,199.851,2.883,19.5380373931736,19.524746399334,1.53445940856613,1.81856172674481,FALSE
1740,136,20200806,2020,60.18212,-48.72342,93.194,3.028,20.1413872818142,18.8974927435562,1.42529597387431,2.5686601953595,FALSE
1741,136,20200806,2020,60.18233,-48.72383,49.729,3.034,18.1433750648796,18.1432565148192,1.46304087123047,2.46791258426431,FALSE
1742,136,20200806,2020,60.18254,-48.7242,29.768,3.024,18.0598512445592,18.0595986540534,1.45478150704456,2.46244667863333,FALSE
1743,136,20200806,2020,60.18276,-48.72452,19.73,3.102,17.7015705508306,17.6935274432404,1.46668705688837,2.67424842190842,FALSE
1744,136,20200806,2020,60.18306,-48.7249,2.461,3.163,18.2165122358262,18.2163186978342,1.49638710957027,2.77759852654655,FALSE
1745,140,20200806,2020,60.44885,-48.3555,143.933,3.677,18.2999197861594,18.299602741642,1.7260762962711,3.80610329777128,FALSE
1746,140,20200806,2020,60.44912,-48.3554,99.427,3.684,17.6666491033128,17.6651914216969,1.75968520695769,3.70298742272148,FALSE
1750,140,20200806,2020,60.44968,-48.35452,49.851,3.798,19.5209212145822,19.5083060007521,1.85086423524874,3.79133768637349,FALSE
1753,140,20200806,2020,60.45002,-48.35418,19.588,3.984,17.1827782232313,17.1823638128988,1.83886232328521,4.60161565206131,FALSE
1754,140,20200806,2020,60.4501,-48.35414,9.192,3.944,17.1629184021383,17.1623771687704,1.83389569343114,4.45254018460045,FALSE
1755,140,20200806,2020,60.45016,-48.35398,3.073,3.892,17.280990684575,17.2777200275075,1.82888195688277,4.25645605983587,FALSE
1765,147,20200806,2020,60.5725,-48.23668,142.308,3.581,18.6028306639086,18.6025855428512,1.75020719621634,3.35180229038604,FALSE
1766,147,20200806,2020,60.57246,-48.239,81.053,3.723,18.2740698202307,18.2732850358974,1.81224630919274,3.65097966693357,FALSE
1769,147,20200806,2020,60.5722,-48.24065,49.828,4.049,18.3827637585167,18.3817711399128,1.90645723447306,4.59048950211182,FALSE
1772,147,20200806,2020,60.57194,-48.24216,19.785,3.88,17.0909962666962,17.081544427218,1.80819184191054,4.29238904392606,FALSE
1774,147,20200806,2020,60.57184,-48.2425,1.845,3.978,17.1261553822381,17.1202497979886,1.81102439985589,4.69578325161992,FALSE
1775,151,20200806,2020,60.37427,-48.46813,591.389,2.79,18.9105636542891,18.9073982355362,1.6276852202982,1.35097564711323,FALSE
1779,151,20200806,2020,60.37408,-48.46936,550.357,2.842,18.9322337210272,18.9320996562312,1.62593518119038,1.47881364354649,FALSE
1780,151,20200806,2020,60.37482,-48.47162,449.382,2.692,18.7882455097671,18.787147643286,1.6213939246777,1.14619736851701,FALSE
1781,151,20200806,2020,60.37458,-48.47279,349.607,2.926,19.2432594939262,19.2391414257015,1.55516768234744,1.87918124312069,FALSE
1782,151,20200806,2020,60.37446,-48.47414,250.545,3.091,19.4120546502295,19.4105279280854,1.56230703206264,2.33690219022115,FALSE
1784,151,20200806,2020,60.37482,-48.47821,99.914,3.707,18.3413404241503,18.3385419504355,1.76124603073994,3.78595850889129,FALSE
1787,151,20200806,2020,60.37571,-48.48186,50.137,3.881,18.2610627557982,18.2585940044074,1.87179761061882,4.03689424149503,FALSE
1790,151,20200806,2020,60.37642,-48.48524,20.099,3.992,17.1973036857566,17.1719726162889,1.86914432586297,4.5065162132158,FALSE
1792,151,20200806,2020,60.3764,-48.48695,3.024,3.934,17.1348875797993,17.0951283766355,1.81102119497395,4.50703900658985,FALSE
1793,155,20200806,2020,60.29826,-48.57507,2789.966,1.823,17.2764571920772,14.7889808429539,1.82299999939717,3.63409908357336e-19,TRUE
1794,155,20200806,2020,60.29938,-48.57769,2570.149,1.623,19.5631538999863,14.274165706684,1.62299999932015,4.62190525667534e-19,TRUE
1795,155,20200806,2020,60.29924,-48.58068,2490.287,1.71,18.2824199055645,14.5796797773253,1.7099999993648,4.03477775325602e-19,TRUE
1796,155,20200806,2020,60.2994,-48.58242,2391.435,1.666,18.7028142630515,14.483151047067,1.66599999935233,4.19478623278775e-19,TRUE
