"EXPOCODE","STNNBR","DATE","year","latitude","longitude","PrDM","sf6_obs","Gamma","Delta","sf6_model","error","converged"
1388,74,20200731,2020,55.61512,-53.63208,2946.569,1.892,19.3910601024704,14.5575701534955,1.89199999908348,8.4000275205509e-19,TRUE
1389,74,20200731,2020,55.61512,-53.63228,2880.61,1.833,20.0569802314271,14.3571779392547,1.83299999907528,8.55103116611867e-19,TRUE
1390,74,20200731,2020,55.61518,-53.63203,2800.974,1.772,20.9723680208124,14.6111826562727,1.77199999879404,1.45434969359307e-18,TRUE
1391,74,20200731,2020,55.61524,-53.63185,2689.114,1.507,23.8867943662272,13.1198885030383,1.50699996721996,1.07453070317266e-15,TRUE
1392,74,20200731,2020,55.61528,-53.63184,2559.196,1.514,23.8064207410528,13.1590647070433,1.51399996169708,1.46711398263605e-15,TRUE
1393,74,20200731,2020,55.61524,-53.63154,2418.477,1.39,25.2570325554752,12.4536746911845,1.38999999808778,3.65657999591609e-18,TRUE
1394,74,20200731,2020,55.61526,-53.63142,2268.855,1.415,24.9600752227533,12.5983913918524,1.41499999664087,1.12837653715785e-17,TRUE
1395,74,20200731,2020,55.61536,-53.63162,2109.384,1.386,25.3047497314166,12.4303687404496,1.38599999823168,3.12696403046891e-18,TRUE
1396,74,20200731,2020,55.61566,-53.63162,1939.385,1.316,26.1486699449512,12.0148180445645,1.31599999911879,7.76532227293367e-19,TRUE
1397,74,20200731,2020,55.61568,-53.63136,1760.529,1.579,23.068909171209,13.5212633787144,1.57899999915204,7.19035280417289e-19,TRUE
1398,74,20200731,2020,55.6157,-53.63144,1570.213,1.929,18.9754170427267,14.6761732267809,1.9289999990905,8.27189498306127e-19,TRUE
1399,74,20200731,2020,55.6154,-53.6311,1379.192,2.214,15.8363397823201,15.4497321323208,2.21399999878888,1.46681403130029e-18,TRUE
1400,74,20200731,2020,55.61522,-53.63104,1178.949,2.559,16.0057704927686,16.0054237742576,2.21812453459172,0.11619608291731,FALSE
1401,74,20200731,2020,55.61516,-53.63074,989.802,2.499,15.3884209312091,15.3864614638118,2.25024849844132,0.0618773095276986,FALSE
1402,74,20200731,2020,55.61514,-53.63064,809.639,2.621,16.1367287086392,16.1359584804503,2.21140325936097,0.16776948994212,FALSE
1403,74,20200731,2020,55.61522,-53.63086,640.263,2.775,16.6195811984792,16.6194316450481,2.18704162647553,0.345695048997545,FALSE
1404,74,20200731,2020,55.61516,-53.63056,490.081,2.895,17.4279085741733,17.4275896777017,2.14740150105008,0.558903515632174,FALSE
1405,74,20200731,2020,55.61518,-53.6306,349.766,2.819,16.8263829625681,16.8258524084726,2.17675032520851,0.412484644769775,FALSE
1406,74,20200731,2020,55.61508,-53.63048,220.752,2.967,17.9815981316599,17.9806437698564,2.12104893556477,0.715633203419096,FALSE
1407,74,20200731,2020,55.61492,-53.63002,99.655,3.151,18.8903034788477,18.8898106868377,2.07921347357057,1.14872635823566,FALSE
1408,74,20200731,2020,55.6148,-53.62962,49.853,3.413,19.5271502610891,19.5257698906857,2.05081633419301,1.85554433939136,FALSE
1409,74,20200731,2020,55.61464,-53.62919,29.662,3.406,19.4984834375918,19.4969813146972,2.05207285234974,1.83311872114437,FALSE
1410,74,20200731,2020,55.6145,-53.62882,10.234,2.823,17.0246766234853,17.0231969460302,2.16695350139065,0.430397008337587,FALSE
1411,74,20200731,2020,55.6144,-53.62862,2.704,2.852,17.0224443584226,17.0218948273109,2.16709373560859,0.469096591002595,FALSE
1412,79,20200731,2020,55.84566,-53.39382,3162.098,1.885,19.4698068986539,14.5343918689405,1.88499999908123,8.44135771110425e-19,TRUE
1413,79,20200731,2020,55.84582,-53.39397,3099.783,1.858,19.7745938110501,14.4443607961678,1.85799999908335,8.4025064256767e-19,TRUE
1414,79,20200731,2020,55.84602,-53.39406,3020.778,1.794,20.4998833845334,14.2182173642216,1.79399999908513,8.36980945015163e-19,TRUE
1415,79,20200731,2020,55.8461,-53.39438,2900.041,1.435,24.7241133698978,12.7130863091029,1.43499999443426,3.09774899494317e-17,TRUE
1416,79,20200731,2020,55.84622,-53.39458,2809.083,1.357,25.6523557139099,12.2600439310952,1.35699999885578,1.30924359258123e-18,TRUE
1417,79,20200731,2020,55.84644,-53.39462,2690.243,1.375,25.4362589628765,12.3660489415491,1.37499999854251,2.1242742386512e-18,TRUE
1418,79,20200731,2020,55.84668,-53.39461,2579.621,1.342,25.8332796436038,12.1709540384205,1.34199999899975,1.00050027248353e-18,TRUE
1419,79,20200731,2020,55.8469,-53.39484,2409.361,1.31,26.2217708306442,11.9784664442494,1.30999999913324,7.51276356861346e-19,TRUE
1420,79,20200731,2020,55.84706,-53.3953,2230.472,1.286,26.5153534608962,11.8318156919006,1.28599999916797,6.92270596197459e-19,TRUE
1421,79,20200731,2020,55.8474,-53.39597,2010.023,1.597,22.8674696172045,13.6213360078956,1.59699999915398,7.15747076410996e-19,TRUE
1422,79,20200731,2020,55.84774,-53.3967,1789.852,1.657,22.2045839080459,13.9554960664712,1.65699999914461,7.31696578154308e-19,TRUE
1423,79,20200731,2020,55.84788,-53.3971,1551.348,2.281,15.5375333789124,15.536614028542,2.24242523043289,0.0014880128471553,FALSE
1424,79,20200731,2020,55.84814,-53.3974,1309.571,2.503,15.3830432964821,15.3829139537291,2.25059366511541,0.0637089578898704,FALSE
1425,79,20200731,2020,55.8483,-53.39802,1090.764,2.694,16.6821014424968,16.6811824572376,2.18389844863029,0.260203592709789,FALSE
1426,79,20200731,2020,55.84868,-53.39908,888.317,2.728,16.8693300377063,16.8691161320704,2.17463832689828,0.30620914125794,FALSE
1427,79,20200731,2020,55.84886,-53.39968,709.648,2.565,16.1200516983921,16.1147885564261,2.21210608481261,0.124534115376286,FALSE
1429,79,20200731,2020,55.8495,-53.40038,400.051,3.021,18.2236739916753,18.2158044066279,2.10950973881721,0.83081449623107,FALSE
1430,79,20200731,2020,55.84959,-53.40048,288.826,2.779,16.8172076522694,16.8169387961622,2.1772129830895,0.362147613722044,FALSE
1431,79,20200731,2020,55.84988,-53.40084,189.822,2.985,17.845447380669,17.8448393624851,2.12747540980476,0.735348422789511,FALSE
1432,79,20200731,2020,55.85014,-53.40127,99.562,3.138,18.8372250987433,18.8370541097273,2.0816234781381,1.11593135594104,FALSE
1433,79,20200731,2020,55.85056,-53.4015,50.399,3.361,19.519860368442,19.5015031975443,2.05058177374119,1.71719592771129,FALSE
1434,79,20200731,2020,55.85044,-53.4014,24.772,3.257,18.9291660345729,18.9129545027563,2.07694436944177,1.39253129121219,FALSE
